전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,우아동3가,안덕원2길,1,1,1,1,1,1,1,1,1,1
월세,우아동3가,우아10길,7,7,7,7,7,7,7,7,5,7
월세,우아동3가,우아1길,9,9,9,9,9,9,9,9,3,9
월세,우아동3가,우아2길,5,5,5,5,5,5,5,5,2,5
월세,우아동3가,우아3길,13,13,13,13,13,13,13,13,9,13
월세,우아동3가,우아4길,3,3,3,3,3,3,3,3,3,3
월세,우아동3가,우아6길,3,3,3,3,3,3,3,3,3,3
월세,우아동3가,우아7길,5,5,5,5,5,5,5,5,5,5
월세,우아동3가,우아8길,1,1,1,1,1,1,1,1,1,1
월세,우아동3가,호성1길,4,4,4,4,4,4,4,4,4,4
월세,우아동3가,호성로,1,1,1,1,1,1,1,1,0,1
월세,인후동1가,가재미1길,7,7,7,7,7,7,7,7,5,7
월세,인후동1가,가재미2길,7,7,7,7,7,7,7,7,5,7
월세,인후동1가,가재미3길,10,10,10,10,10,10,10,10,6,10
월세,인후동1가,가재미4길,5,5,5,5,5,5,5,5,5,5
월세,인후동1가,가재미5길,9,9,9,9,9,9,9,9,8,9
월세,인후동1가,가재미6길,5,5,5,5,5,5,5,5,5,5
월세,인후동1가,가재미로,30,30,30,30,30,30,30,30,26,30
월세,인후동1가,건산로,6,6,6,6,6,6,6,6,5,6
월세,인후동1가,견훤로,16,16,16,16,16,16,16,16,11,16
월세,인후동1가,견훤왕궁로,4,4,4,4,4,4,4,4,3,4
월세,인후동1가,구총목로,6,6,6,6,6,6,6,6,4,6
월세,인후동1가,동가재미1길,7,7,7,7,7,7,7,7,5,7
월세,인후동1가,동가재미2길,21,21,21,21,21,21,21,21,18,21
월세,인후동1가,동가재미3길,14,14,14,14,14,14,14,14,8,14
월세,인후동1가,무삼지1길,3,3,3,3,3,3,3,3,3,3
월세,인후동1가,무삼지2길,17,17,17,17,17,17,17,17,16,17
월세,인후동1가,무삼지3길,12,12,12,12,12,12,12,12,7,12
월세,인후동1가,무삼지4길,12,12,12,12,12,12,12,12,11,12
월세,인후동1가,무삼지5길,5,5,5,5,5,5,5,5,5,5
월세,인후동1가,무삼지6길,5,5,5,5,5,5,5,5,5,5
월세,인후동1가,물왕멀로,2,2,2,2,2,2,2,2,2,2
월세,인후동1가,반태산3길,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,반태산4길,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,반태산5길,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,서가재미1길,20,20,20,20,20,20,20,20,15,20
월세,인후동1가,서가재미2길,21,21,21,21,21,21,21,21,16,21
월세,인후동1가,서가재미3길,10,10,10,10,10,10,10,10,10,10
월세,인후동1가,석소로,7,7,7,7,7,7,7,7,5,7
월세,인후동1가,심방죽2길,2,2,2,2,2,2,2,2,0,2
월세,인후동1가,심방죽4길,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,심방죽7길,2,2,2,2,2,2,2,2,2,2
월세,인후동1가,심방죽로,1,1,1,1,1,1,1,1,0,1
월세,인후동1가,아중로,3,3,3,3,3,3,3,3,2,3
월세,인후동1가,안골1길,6,6,6,6,6,6,6,6,3,6
월세,인후동1가,안골2길,4,4,4,4,4,4,4,4,2,4
월세,인후동1가,안골3길,5,5,5,5,5,5,5,5,5,5
