addr,lat,long,house_amount,park,river,cctv,pol,conv,bus,bus_stop,pharmacy,mono_avg_deposit_month,mono_avg_deposit_all,mono_avg_fee_month,mono_total_count_month,mono_total_count_all,row_avg_deposit_month,row_avg_deposit_all,row_avg_fee_month,row_total_count_month,row_total_count_all,office_avg_deposit_month,office_avg_deposit_all,office_avg_fee_month,office_total_count_month,office_total_count_all
전라북도 전주시 덕진구 전미동2가,127.11,35.88,1.0,0.0,1.0,2.0,0.0,0.0,13.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 전미동2가,127.1,35.89,1.0,0.0,1.0,0.0,0.0,0.0,11.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 중동,127.06,35.83,30.0,1.0,0.0,11.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 태평동,127.13,35.82,52.0,0.0,2.0,32.0,1.0,7.0,3.0,2.0,38.0,1980.1,6907.425925925926,26.4,11.0,55.0,4167.0,17307.76923076923,47.0,4.0,14.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 팔복동4가,127.1,35.86,7.0,0.0,1.0,4.0,0.0,1.0,41.0,10.0,2.0,301.0,3500.5,39.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 팔복동2가,127.09,35.86,1.0,0.0,0.0,3.0,0.0,3.0,39.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 팔복동3가,127.1,35.84,3.0,1.0,2.0,15.0,0.0,5.0,19.0,7.0,8.0,3870.847222222222,6614.469879518072,28.90277777777778,73.0,84.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 호성동1가,127.16,35.87,3.0,0.0,1.0,1.0,0.0,0.0,18.0,12.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 호성동3가,127.15,35.89,2.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 호성동3가,127.14,35.89,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 중노송동,127.15,35.82,23.0,0.0,1.0,44.0,2.0,9.0,217.0,23.0,62.0,2434.5172413793102,4917.171428571429,31.20689655172414,30.0,36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 서서학동,127.15,35.81,57.0,2.0,1.0,43.0,2.0,4.0,200.0,22.0,41.0,1450.1666666666667,3675.125,29.833333333333332,7.0,9.0,0.0,4250.5,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 동서학동,127.16,35.81,14.0,0.0,1.0,24.0,0.0,2.0,20.0,22.0,16.0,920.2,10714.42857142857,45.2,6.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 대성동,127.18,35.79,2.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 대성동,127.17,35.8,1.0,0.0,1.0,1.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 대성동,127.18,35.8,1.0,0.0,1.0,1.0,0.0,0.0,11.0,4.0,0.0,1000.5,10001.0,40.5,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 대성동,127.17,35.79,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 평화동2가,127.12,35.79,228.0,1.0,1.0,28.0,0.0,5.0,28.0,11.0,26.0,1654.6785714285713,5268.473684210527,25.678571428571427,29.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 삼천동2가,127.11,35.8,20.0,5.0,2.0,31.0,0.0,9.0,44.0,13.0,34.0,1000.0555555555555,7577.0,31.333333333333332,19.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 삼천동3가,127.08,35.79,3.0,0.0,0.0,4.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 평화동2가,127.13,35.79,78.0,5.0,0.0,34.0,1.0,11.0,115.0,12.0,35.0,1152.4186046511627,6526.368421052632,28.953488372093023,44.0,20.0,201.0,5889.800000000001,23.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 삼천동2가,127.1,35.79,4.0,0.0,2.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 삼천동2가,127.1,35.78,5.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,7000.5,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
