house_amount,park,river,cctv,pol,conv,bus,bus_stop,pharmacy,mono_avg_deposit_month,mono_avg_deposit_all,mono_avg_fee_month,mono_total_count_month,mono_total_count_all,row_avg_deposit_month,row_avg_deposit_all,row_avg_fee_month,row_total_count_month,row_total_count_all,office_avg_deposit_month,office_avg_deposit_all,office_avg_fee_month,office_total_count_month,office_total_count_all,result,result_normalize
0.067285383,0.166666667,0,0.265625,0,0.333333333,0.179723502,0.5,0.225806452,0.071318638,0.477268939,0.727346939,0.018518519,0.057591623,0,0,0,0,0,0,0,0,0,0,2.43977476,0.245455266
0.099767981,0,0.333333333,0.28125,0,0.222222222,0.165898618,0.346153846,0.129032258,0.19598479,0.283131662,0.674788069,0.048148148,0.146596859,0,0,0,0,0,0,0,0,0,0,2.360731554,0.233504271
0.016241299,0,0.333333333,0.078125,0,0.111111111,0.331797235,0.538461538,0.032258065,0.280860252,0.455357468,0.634040816,0.111111111,0.151832461,0,0,0,0,0,0,0,0,0,0,1.987964975,0.177143558
0,0,0,0,0,0.055555556,0.023041475,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07859703,0.190846738
0,0,0,0.140625,0,0.055555556,0.023041475,0.192307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21922203,0.212108636
0.255220418,0.166666667,0.666666667,0.3125,0,0.222222222,0,0.038461538,0.064516129,0.213770252,0.391069841,0.550089106,0.262962963,0.418848168,0.022731634,0.174350384,0.196369637,0.5,0.4375,0,0,0,0,0,2.923932744,0.318657883
0.025522042,0,0.333333333,0.140625,0,0.222222222,0.004608295,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.726310892,0.288778304
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.178963203
0.222737819,0,0.333333333,0.765625,0.5,0.166666667,0.230414747,0.5,0.387096774,0.2490509,0.297928591,0.537414966,0.3,0.22513089,0.015166207,0.079609754,0.301980198,0.166666667,0.3125,0,0,0,0,0,3.819408474,0.454049984
0.009280742,0,0.333333333,0.28125,0.5,0.111111111,0.221198157,0.346153846,0.225806452,0.043519847,0.188913168,0.672244898,0.007407407,0.010471204,0,0,0,0,0,0,0,0,0,0,2.96621505,0.325050787
0.236658933,0,0,0.578125,0,0.277777778,0.460829493,0.423076923,0.387096774,0.172045315,0.30687527,0.659650146,0.103703704,0.109947644,0.018196418,0,0.326732673,0.166666667,0,0.33338887,0.388595512,0.5,0.034482759,0.007142857,3.108792517,0.34660789
0,0,0.333333333,0.15625,0,0.166666667,0.142857143,0.269230769,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895881336,0.31441663
0.86774942,0.166666667,0.333333333,0.96875,0.5,0.444444444,0.244239631,0.615384615,0.483870968,0.180523874,0.305521102,0.608489796,1,1,0.037375972,0.108915801,0.276127613,0.75,0.6875,0,0,0,0,0,5.220040793,0.665819602
0.273781903,0,0,0.921875,1,0.111111111,0.493087558,0.384615385,0.806451613,0.171882382,0.26203311,0.515265306,0.166666667,0.314136126,0.038392776,0.140590653,0.316831683,0.25,0.1875,0,0,0,0,0,4.919159496,0.620327636
0,0,0,0.15625,0,0.055555556,0.059907834,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27171339,0.220045105
0.062645012,0,0,0.46875,0.5,0.166666667,0.096774194,0.346153846,0.032258065,0.415843812,0.486115998,0.933493397,0.062962963,0.020942408,0,0,0,0,0,0.536033966,1,0.73374788,1,1,1.977756727,0.175600115
0.002320186,0,0,0.078125,0,0.222222222,0.110599078,0.384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.413266486,0.241447328
0,0,0.333333333,0.03125,0,0,0.059907834,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.424491167,0.243144452
0,0,0.333333333,0,0,0,0.050691244,0.307692308,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.416282642,0.241903358
0.067285383,0.166666667,0,0.171875,0,0.055555556,0.00921659,0.153846154,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.502857259,0.25499307
0.118329466,0,0.666666667,0.5,0.5,0.388888889,0.013824885,0.076923077,0.451612903,0.172175123,0.383738778,0.581877551,0.037037037,0.282722513,0.126268901,0.456217218,0.465346535,0.25,0.8125,0,0,0,0,0,3.885270136,0.464007986
0.013921114,0,0.333333333,0.0625,0,0.055555556,0.188940092,0.384615385,0,0.026172775,0.194468621,0.859591837,0.003703704,0.010471204,0,0,0,0,0,0,0,0,0,0,1.768485483,0.143959198
0,0,0,0.046875,0,0.166666667,0.179723502,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.393265169,0.238423215
0.004640371,0.166666667,0.666666667,0.234375,0,0.277777778,0.087557604,0.269230769,0.064516129,0.336580777,0.367463744,0.637040816,0.266666667,0.434554974,0,0,0,0,0,0,0,0,0,0,2.528578622,0.25888203
0.004640371,0,0.333333333,0.015625,0,0,0.082949309,0.461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.436548013,0.244967396
0.002320186,0,0.333333333,0,0,0,0.02764977,0.192307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.363303289,0.233893106
0,0,0,0,0,0,0.01843318,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01843318,0.181750221
0.051044084,0,0.333333333,0.6875,1,0.5,1,0.884615385,0.903225806,0.211687948,0.273171132,0.687825475,0.107407407,0.183246073,0,0,0,0,0,0,0,0,0,0,5.575589801,0.719577091
0.129930394,0.333333333,0.333333333,0.671875,1,0.222222222,0.921658986,0.846153846,0.483870968,0.126095967,0.20416983,0.65755102,0.022222222,0.041884817,0,0.112039354,0,0,0.125,0,0,0,0,0,5.31257725,0.679810718
0.030162413,0,0.333333333,0.375,0,0.111111111,0.092165899,0.846153846,0.064516129,0.080013912,0.595235009,0.996244898,0.018518519,0.036649215,0,0,0,0,0,0,0,0,0,0,1.930030075,0.168384049
0.002320186,0,0.333333333,0,0,0,0.013824885,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.349478404,0.231802843
0,0,0.333333333,0.015625,0,0.055555556,0.046082949,0.423076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.450596838,0.247091518
0,0,0.333333333,0.015625,0,0,0.050691244,0.153846154,0,0.086996218,0.555600822,0.892653061,0.007407407,0.005235602,0,0,0,0,0,0,0,0,0,0,1.420000299,0.091269728
0,0,0.333333333,0.015625,0,0,0.013824885,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.362783218,0.233814474
0.526682135,0.166666667,0.333333333,0.4375,0,0.277777778,0.129032258,0.423076923,0.193548387,0.143878838,0.292687562,0.565976676,0.103703704,0.09947644,0,0,0,0,0,0,0,0,0,0,3.354685044,0.383785789
0.044083527,0.833333333,0.666666667,0.484375,0,0.5,0.202764977,0.5,0.35483871,0.086957572,0.420936649,0.690612245,0.066666667,0.068062827,0,0,0,0,0,0,0,0,0,0,4.308492397,0.527997382
0.004640371,0,0,0.0625,0,0,0.046082949,0.346153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.113223321,0.196082085
0.178654292,0.833333333,0,0.53125,0.5,0.611111111,0.529953917,0.461538462,0.483870968,0.100205957,0.362569309,0.638158519,0.159259259,0.09947644,0.006090725,0.155249827,0.227722772,0.083333333,0.3125,0,0,0,0,0,4.929809146,0.621937818
0.006960557,0,0.666666667,0.046875,0,0,0.01843318,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.738935403,0.290687076
0.009280742,0,0.333333333,0.046875,0,0,0.01843318,0.076923077,0,0,0.388909465,0,0,0.010471204,0,0,0,0,0,0,0,0,0,0,2.407922256,0.240639303
0,0.166666667,0.666666667,0.25,0,0.111111111,0.078341014,0.615384615,0.064516129,0,0,0,0,0,0.070913003,0.492045318,0.417821782,0.416666667,0.1875,0,0,0,0,0,3.337301587,0.381157484
0.002320186,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.033570186,0.184038871
0.002320186,0,0,0.078125,0,0,0.096774194,0.461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.177219379,0.205758015
0.587006961,0.5,1,0.546875,0.5,0.666666667,0.133640553,0.423076923,0.451612903,0.124287376,0.316414511,0.674974724,0.403703704,0.471204188,0,0,0,0,0,0,0,0,0,0,5.586539983,0.721232712
0,0,0.333333333,0.015625,0,0,0,0,0,0.260945176,0.555600822,0.462857143,0.003703704,0.005235602,0,0,0,0,0,0,0,0,0,0,1.625156014,0.122288395
0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,0.229361777
0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03125,0.183688069
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.178963203
0.009280742,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.056155742,0.187453711
0.002320186,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.049195186,0.186401304
0.955916473,0.666666667,1,0.765625,0,0.611111111,0.096774194,0.576923077,0.322580645,0.235785865,0.368287943,0.648920151,0.762962963,0.821989529,0.06363696,0.136191612,0.400165017,1,0.5625,0,0,0,0,0,5.533968074,0.713284064
0.141531323,0.5,0,0.375,0.5,0.333333333,0.01843318,0.192307692,0.129032258,0.139858182,0.3323371,0.605853659,0.151851852,0.146596859,0.104275077,0.500849257,0.223222322,0.916666667,0.0625,0,0,0,0,0,3.251618253,0.368202531
0.120649652,0.166666667,0.333333333,0.203125,0,0.277777778,0.248847926,0.076923077,0.193548387,0.093913308,0.418051286,0.681061224,0.074074074,0.083769634,0,0,0,0,0,0,0,0,0,0,2.768974211,0.295228815
0.013921114,0,0,0.078125,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.203157225,0.209679706
