전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,중화산동2가,중산3길,14,14,14,14,14,14,14,14,14,14
월세,중화산동2가,중산4길,2,2,2,2,2,2,2,2,2,2
월세,중화산동2가,중산5길,11,11,11,11,11,11,11,11,9,11
월세,중화산동2가,중산6길,7,7,7,7,7,7,7,7,6,7
월세,중화산동2가,중산7길,7,7,7,7,7,7,7,7,7,7
월세,중화산동2가,중산8길,9,9,9,9,9,9,9,9,8,9
월세,중화산동2가,중산9길,6,6,6,6,6,6,6,6,6,6
월세,중화산동2가,중산로,11,11,11,11,11,11,11,11,11,11
월세,중화산동2가,중산중앙로,4,4,4,4,4,4,4,4,4,4
월세,중화산동2가,중화산로,7,7,7,7,7,7,7,7,7,7
월세,중화산동2가,한두평2길,4,4,4,4,4,4,4,4,4,4
월세,중화산동2가,한두평3길,3,3,3,3,3,3,3,3,3,3
월세,중화산동2가,화산천변2길,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,화산천변3길,6,6,6,6,6,6,6,6,6,6
월세,중화산동2가,화산천변4길,4,4,4,4,4,4,4,4,4,4
월세,중화산동2가,화산천변6길,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,효자로,1,1,1,1,1,1,1,1,1,1
월세,태평동,공북3길,2,2,2,2,2,2,2,2,2,2
월세,태평동,공북로,1,1,1,1,1,1,1,1,1,1
월세,태평동,대동로,1,1,1,1,1,1,1,1,1,1
월세,태평동,물레방아1길,1,1,1,1,1,1,1,1,0,1
월세,태평동,물레방아3길,1,1,1,1,1,1,1,1,0,1
월세,평화동1가,꽃밭정1길,1,1,1,1,1,1,1,1,1,1
월세,평화동1가,꽃밭정2길,1,1,1,1,1,1,1,1,1,1
월세,평화동1가,꽃밭정4길,1,1,1,1,1,1,1,1,1,1
월세,평화동1가,꽃밭정로,1,1,1,1,1,1,1,1,0,1
월세,평화동1가,덕적골1길,1,1,1,1,1,1,1,1,1,1
월세,평화동1가,덕적골3길,4,4,4,4,4,4,4,4,3,4
월세,평화동1가,맏내3길,2,2,2,2,2,2,2,2,2,2
월세,평화동1가,맏내4길,2,2,2,2,2,2,2,2,2,2
월세,평화동1가,장승배기1길,2,2,2,2,2,2,2,2,2,2
월세,평화동1가,장승배기3길,3,3,3,3,3,3,3,3,3,3
월세,평화동1가,평화14길,8,8,8,8,8,8,8,8,7,8
월세,평화동1가,평화16길,1,1,1,1,1,1,1,1,1,1
월세,평화동1가,평화17길,3,3,3,3,3,3,3,3,3,3
월세,평화동1가,평화18길,10,10,10,10,10,10,10,10,10,10
월세,평화동1가,평화19길,8,8,8,8,8,8,8,8,7,8
월세,평화동1가,평화로,3,3,3,3,3,3,3,3,3,3
월세,평화동2가,맏내1길,1,1,1,1,1,1,1,1,0,1
월세,평화동2가,맏내2길,2,2,2,2,2,2,2,2,2,2
월세,평화동2가,맏내로,8,8,8,8,8,8,8,8,8,8
월세,평화동2가,모악로,3,3,3,3,3,3,3,3,2,3
월세,평화동2가,양지2길,2,2,2,2,2,2,2,2,2,2
월세,평화동2가,장승배기로,3,3,3,3,3,3,3,3,3,3
월세,평화동2가,평화11길,9,9,9,9,9,9,9,9,9,9
월세,평화동2가,평화13길,7,7,7,7,7,7,7,7,7,7
월세,평화동2가,평화14길,3,3,3,3,3,3,3,3,3,3
월세,평화동2가,평화15길,5,5,5,5,5,5,5,5,5,5
월세,평화동2가,평화3길,5,5,5,5,5,5,5,5,5,5
