전월세구분,dong,도로명,본번,부번,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,loc,x,y,번지
월세,인후동1가,한배미5길 23,944.0,18.0,25.45,202055.0,24.0,550.0,20.0,3.5,2001.0,전북 전주시 인후동1가 한배미5길 23,127.166006423,35.823118722,2
월세,인후동1가,한배미5길 7-4,947.0,2.0,24.482,202102.0,24.0,100.0,20.0,3.0,2002.0,전북 전주시 인후동1가 한배미5길 7-4,127.16756718299999,35.823383695,1
월세,인후동2가,건지3길 10-33,1531.0,28.0,38.22,202004.0,7.0,200.0,30.0,2.0,2002.0,전북 전주시 인후동2가 건지3길 10-33,127.14505187299999,35.845333591999996,1
월세,인후동2가,백동1길 32,1563.0,1.0,65.7,202008.0,27.0,1000.0,35.0,1.0,1985.0,전북 전주시 인후동2가 백동1길 32,127.14676577700001,35.847801241999996,1
월세,진북동,반촌6길 2,322.0,322.0,110.52,202009.0,14.0,3000.0,30.0,3.0,1987.0,전북 전주시 진북동 반촌6길 2,127.145280229,35.82947171,1
월세,진북동,유연로 394,1124.0,7.0,51.85,202010.0,17.0,2000.0,18.0,4.0,2002.0,전북 전주시 진북동 유연로 394,127.128632921,35.826345961,1
월세,팔복동2가,기린대로 654,10.0,9.0,64.17,202004.0,24.0,500.0,30.0,3.0,1985.0,전북 전주시 팔복동2가 기린대로 654,127.109896027,35.851623099,1
전세,금암동,금암1길 6-3,728.0,74.0,29.435,202055.0,21.5,4250.0,0.0,4.0,2003.0,전북 전주시 금암동 금암1길 6-3,127.133352503,35.840156891,2
전세,금암동,금암1길 6-4,728.0,230.0,18.24,202009.0,6.0,2500.0,0.0,4.0,2002.0,전북 전주시 금암동 금암1길 6-4,127.133146269,35.840230782,2
전세,금암동,금암1길 7-1,728.0,146.0,29.4175,202056.5,18.0,3875.0,0.0,2.25,2002.0,전북 전주시 금암동 금암1길 7-1,127.133856456,35.840363438000004,4
전세,금암동,금암1길 8,728.0,395.0,27.47,202006.0,8.0,4500.0,0.0,4.0,2003.0,전북 전주시 금암동 금암1길 8,127.133441997,35.840243861,1
전세,금암동,금암5길 32,631.0,350.0,21.61,202011.5,12.0,5500.0,0.0,1.5,2002.0,전북 전주시 금암동 금암5길 32,127.135455566,35.839893796,2
전세,금암동,매봉1길 10,1586.0,6.0,34.8,202005.0,22.0,4500.0,0.0,4.0,2005.0,전북 전주시 금암동 매봉1길 10,127.141464586,35.842383584000004,1
전세,금암동,매봉5길 27-3,1599.0,9.0,29.04,202010.0,20.0,3000.0,0.0,2.0,2002.0,전북 전주시 금암동 매봉5길 27-3,127.143601783,35.8423328,1
전세,금암동,모래내6길 43,121.0,21.0,59.0,202008.0,11.5,6913.5,0.0,2.5,2013.0,전북 전주시 금암동 모래내6길 43,127.144272983,35.837423042,2
전세,금암동,백제대로 621-1,1547.0,23.0,16.594,202009.0,4.0,4000.0,0.0,4.0,2012.0,전북 전주시 금암동 백제대로 621-1,127.13742268600001,35.842441269,1
전세,금암동,삼송5길 13,1545.0,15.0,77.79,202007.0,2.0,7000.0,0.0,3.0,1983.0,전북 전주시 금암동 삼송5길 13,127.136678551,35.843094789,1
