전월세구분,dong,도로명,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,loc,x,y,번지,번지.1,번지.1.1,번지.1.1.1,번지.1.1.1.1,번지.1.1.1.1.1,번지.1.1.1.1.1.1,번지
월세,송천동1가,솔내9길,44.19,202041.1429,14.64285714,3067.857143,29.42857143,2014.3333329999998,전북 전주시 송천동1가 솔내9길,127.125729685,35.862458739000004,14,14,14,14,14,14,14,14
월세,송천동1가,송천1길,39.55333333,202040.3333,14.33333333,3066.666667,23.33333333,2016.0,전북 전주시 송천동1가 송천1길,127.11984528299999,35.856078754,3,3,3,3,3,3,3,3
월세,송천동1가,송천2길,50.0,202006.0,28.0,3000.0,40.0,2018.0,전북 전주시 송천동1가 송천2길,127.11993640799999,35.859952252,1,1,1,1,1,1,1,1
월세,송천동1가,송천3길,36.85571429,202021.0,14.28571429,442.85714289999993,37.85714286,2018.0,전북 전주시 송천동1가 송천3길,127.120271504,35.860992555,7,7,7,7,7,7,7,7
월세,송천동1가,송천4길,80.625,202056.0,23.0,10500.0,10.0,2013.5,전북 전주시 송천동1가 송천4길,127.119791994,35.861761593000004,2,2,2,2,2,2,2,2
월세,송천동1가,송천로,47.666000000000004,202027.45,16.65,3490.0,27.7,2016.2631579999997,전북 전주시 송천동1가 송천로,127.114697388,35.865521621,20,20,20,20,20,20,20,20
월세,송천동1가,송천중앙로,58.6675,202008.75,13.5,2700.0,33.5,2014.75,전북 전주시 송천동1가 송천중앙로,127.12132502200001,35.863219087,4,4,4,4,4,4,4,4
월세,송천동1가,시천로,55.16875,202043.375,13.375,2975.0,29.75,2013.714286,전북 전주시 송천동1가 시천로,127.114697388,35.865521621,8,8,8,8,8,8,8,8
월세,송천동1가,오송1길,31.0,202038.6667,21.66666667,1516.666667,27.33333333,2007.3333329999998,전북 전주시 송천동1가 오송1길,127.12808008200001,35.863152201,3,3,3,3,3,3,3,3
월세,송천동1가,천마산로,62.86166667,202055.6667,16.33333333,3416.666667,40.0,2016.0,전북 전주시 송천동1가 천마산로,127.13358697700001,35.864059979000004,6,6,6,6,6,6,6,6
월세,송천동2가,동부대로,23.0,202008.0,5.0,300.0,35.0,2017.0,전북 전주시 송천동2가 동부대로,127.138162316,35.869779993,1,1,1,1,1,1,1,1
월세,송천동2가,붓내1길,51.05166667,202022.6667,20.16666667,2683.333333,32.66666667,2012.8,전북 전주시 송천동2가 붓내1길,127.123122646,35.86419358,6,6,6,6,6,6,6,6
월세,송천동2가,붓내2길,36.0,202052.5,19.0,1000.0,27.5,2011.0,전북 전주시 송천동2가 붓내2길,127.12350737,35.864982774,2,2,2,2,2,2,2,2
월세,송천동2가,붓내3길,54.38,202008.0,17.66666667,600.0,46.0,2014.3333329999998,전북 전주시 송천동2가 붓내3길,127.121834397,35.866692207,3,3,3,3,3,3,3,3
월세,송천동2가,붓내4길,51.16666667,202024.6667,17.33333333,2883.333333,28.83333333,2012.6666670000002,전북 전주시 송천동2가 붓내4길,127.12245673700001,35.86769168,6,6,6,6,6,6,6,6
월세,송천동2가,붓내5길,61.1025,202008.75,18.0,2550.0,21.5,2006.5,전북 전주시 송천동2가 붓내5길,127.122530986,35.868559245,4,4,4,4,4,4,4,4
월세,송천동2가,사근1길,30.5,202053.0,21.5,950.0,31.0,2015.0,전북 전주시 송천동2가 사근1길,127.128148113,35.866453581,4,4,4,4,4,4,4,4
