전월세구분,dong,도로명,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,loc,x,y,번지,번지.1,번지.1.1,번지.1.1.1,번지
월세,서신동,서신천변4길,42.5,202102.5,17.0,400.0,30.0,1998.0,전북 전주시 서신동 서신천변4길,127.11433024200001,35.827965283000005,2,2,2,2,2
월세,서신동,서신천변5길,100.21333333333332,202039.66666666663,10.666666666666666,1833.333333333333,39.333333333333336,1996.0,전북 전주시 서신동 서신천변5길,127.114050445,35.828103809,3,3,3,3,3
월세,서신동,서신천변6길,70.22999999999999,202055.0,14.5,3050.0,20.0,2003.5,전북 전주시 서신동 서신천변6길,127.114750425,35.828089647,2,2,2,2,2
월세,서신동,서신천변7길,50.42333333333333,202071.66666666663,10.333333333333334,1066.6666666666667,26.66666666666667,2000.0,전북 전주시 서신동 서신천변7길,127.11349008100001,35.828687908,3,3,3,3,3
월세,서신동,서신천변8길,61.784285714285716,202035.7142857143,12.571428571428573,971.4285714285713,25.0,1999.7142857142856,전북 전주시 서신동 서신천변8길,127.115166931,35.828493164,7,7,7,7,7
월세,서신동,서신천변9길,42.17666666666667,202007.66666666663,10.0,2166.6666666666665,16.666666666666668,1999.0,전북 전주시 서신동 서신천변9길,127.11406536700001,35.829683259,3,3,3,3,3
월세,서신동,서신천변로,69.36399999999999,202008.4,19.8,1380.0,33.0,1997.0,전북 전주시 서신동 서신천변로,127.114072921,35.826345885,5,5,5,5,5
월세,서신동,안터1길,35.5,202053.5,14.0,3250.0,21.0,2014.5,전북 전주시 서신동 안터1길,127.117376059,35.827430233,2,2,2,2,2
월세,서신동,안터2길,47.1,202046.4,10.4,1760.0,14.6,2003.0,전북 전주시 서신동 안터2길,127.11867301299999,35.828509566,5,5,5,5,5
월세,서신동,안터3길,50.44333333333333,202040.33333333328,20.666666666666668,1666.666666666667,25.0,2003.666666666667,전북 전주시 서신동 안터3길,127.119377324,35.82853502,3,3,3,3,3
월세,서신동,안터4길,44.02285714285714,202022.2857142857,9.714285714285714,2528.5714285714284,23.57142857142857,2004.0,전북 전주시 서신동 안터4길,127.119029052,35.829246364,7,7,7,7,7
월세,서신동,안터5길,35.725,202029.25,20.0,950.0,19.25,2002.25,전북 전주시 서신동 안터5길,127.11810333700001,35.83043061,4,4,4,4,4
월세,서신동,안터6길,39.9,202055.5,21.5,1250.0,22.5,2006.0,전북 전주시 서신동 안터6길,127.117844116,35.831481471,2,2,2,2,2
월세,서신동,유연로,31.426666666666666,202038.66666666663,15.0,1566.666666666667,21.66666666666667,2014.0,전북 전주시 서신동 유연로,127.113665215,35.825571247,3,3,3,3,3
월세,서신동,잿뜸2길,35.30333333333333,202008.0,16.666666666666668,1866.666666666667,28.33333333333333,2018.0,전북 전주시 서신동 잿뜸2길,127.124646411,35.827808970999996,3,3,3,3,3
월세,서신동,전룡1길,64.71,202004.0,27.0,500.0,20.0,2003.0,전북 전주시 서신동 전룡1길,127.116295763,35.826008761,1,1,1,1,1
월세,서신동,전룡2길,55.16,202039.66666666663,3.0,433.33333333333326,36.333333333333336,2008.0,전북 전주시 서신동 전룡2길,127.117620894,35.826053188,3,3,3,3,3
월세,서신동,전룡4길,44.6225,202030.75,24.5,850.0,35.75,2013.5,전북 전주시 서신동 전룡4길,127.11961732200001,35.826114154,4,4,4,4,4
월세,서신동,전룡5길,44.9025,202054.75,21.5,1275.0,31.5,2011.25,전북 전주시 서신동 전룡5길,127.121202293,35.825922202,4,4,4,4,4
월세,서신동,전룡6길,48.0,202053.5,13.5,1250.0,32.5,2012.0,전북 전주시 서신동 전룡6길,127.121481872,35.826293667,2,2,2,2,2
월세,서신동,전룡로,50.61333333333333,202061.0,15.333333333333336,1488.888888888889,35.666666666666664,2010.2222222222226,전북 전주시 서신동 전룡로,127.11403496,35.8259343,9,9,9,9,9
월세,서완산동1가,완산2길,27.76,202056.0,7.5,600.0,25.0,2019.0,전북 전주시 서완산동1가 완산2길,127.139922629,35.811113523,2,2,2,2,2
월세,서완산동1가,완산3길,60.0,202103.0,6.0,500.0,47.0,2015.0,전북 전주시 서완산동1가 완산3길,127.14086595299999,35.811450812,1,1,1,1,1
월세,서완산동1가,완산4길,40.0,202007.0,20.0,300.0,37.0,2016.0,전북 전주시 서완산동1가 완산4길,127.14146585399999,35.811375213000005,1,1,1,1,1
월세,서완산동1가,전주천서로,33.05,202007.0,25.0,100.0,21.0,1997.0,전북 전주시 서완산동1가 전주천서로,127.141379102,35.811844246,1,1,1,1,1
월세,서완산동1가,효정2길,73.74,202012.0,19.0,1000.0,40.0,2017.0,전북 전주시 서완산동1가 효정2길,127.136236305,35.807416148,1,1,1,1,1
월세,서완산동2가,강당1길,63.49,202009.0,1.0,6000.0,9.0,2014.0,전북 전주시 서완산동2가 강당1길,127.13423731399999,35.809631425,1,1,1,1,1
월세,원당동,학전길,104.64,202103.0,31.0,15000.0,50.0,2016.0,전북 전주시 원당동 학전길,127.10919799,35.766042728,1,1,1,1,1
월세,전동3가,풍남문2길,26.77,202011.0,23.0,500.0,20.0,1952.0,전북 전주시 전동3가 풍남문2길,127.14414259600001,35.813655049,1,1,1,1,1
월세,전동3가,풍남문4길,49.59,202007.0,7.0,200.0,30.0,2006.0,전북 전주시 전동3가 풍남문4길,127.14537472,35.812633581,1,1,1,1,1
월세,중노송동,견훤로,39.81,202027.1,18.4,1700.0,28.2,2009.2,전북 전주시 중노송동 견훤로,127.162992321,35.820531791,10,10,10,10,10
월세,중노송동,견훤왕궁로,52.738,202027.8,11.2,940.0,33.6,2005.6,전북 전주시 중노송동 견훤왕궁로,127.15353399899999,35.824872086999996,5,5,5,5,5
월세,중노송동,관선4길,85.59,202101.0,31.0,14200.0,18.0,2019.0,전북 전주시 중노송동 관선4길,127.154961567,35.822912173,1,1,1,1,1
월세,중노송동,기린대로,24.0,202006.0,18.0,300.0,43.0,2019.0,전북 전주시 중노송동 기린대로,127.152675126,35.821139896999995,1,1,1,1,1
월세,중노송동,마당재2길,31.55,202008.5,11.5,600.0,30.0,2018.0,전북 전주시 중노송동 마당재2길,127.16056389799999,35.821738753000005,2,2,2,2,2
월세,중노송동,마당재3길,73.33333333333333,202041.0,20.33333333333333,12500.0,18.33333333333333,2014.666666666667,전북 전주시 중노송동 마당재3길,127.160491116,35.822188033,3,3,3,3,3
월세,중노송동,마당재4길,52.0,202037.66666666663,10.666666666666666,1066.6666666666667,30.0,2010.666666666667,전북 전주시 중노송동 마당재4길,127.160542735,35.823606966999996,3,3,3,3,3
월세,중노송동,문화1길,53.751999999999995,202063.0,15.2,1780.0,33.6,2007.8,전북 전주시 중노송동 문화1길,127.15516766799999,35.824013518,5,5,5,5,5
월세,중노송동,문화3길,43.645,202010.0,21.0,800.0,24.0,2003.0,전북 전주시 중노송동 문화3길,127.15694536299999,35.824049146,2,2,2,2,2
월세,중노송동,물왕멀1길,60.534000000000006,202006.2,22.4,860.0,27.8,1985.8,전북 전주시 중노송동 물왕멀1길,127.149167962,35.825332033,5,5,5,5,5
월세,중노송동,물왕멀2길,31.864,202008.0,12.2,340.0,24.8,2002.0,전북 전주시 중노송동 물왕멀2길,127.14916402600001,35.826858257,5,5,5,5,5
월세,중노송동,물왕멀로,45.35,202040.5,16.0,2350.0,22.0,2003.0,전북 전주시 중노송동 물왕멀로,127.150737275,35.824566063,6,6,6,6,6
월세,중노송동,아중로,38.25,202055.5,18.5,1000.0,21.0,2002.0,전북 전주시 중노송동 아중로,127.1514534,35.822696952,2,2,2,2,2
월세,중노송동,인봉2길,56.09,202007.0,18.0,1100.0,12.5,1976.0,전북 전주시 중노송동 인봉2길,127.154395899,35.827605504,2,2,2,2,2
월세,중노송동,인봉로,58.0,202054.75,17.25,750.0,45.5,2017.75,전북 전주시 중노송동 인봉로,127.158651065,35.823655751,4,4,4,4,4
월세,중앙동4가,전라감영로,80.0,202054.0,19.5,1150.0,41.0,2011.0,전북 전주시 중앙동4가 전라감영로,127.143371398,35.815727454,2,2,2,2,2
월세,중앙동4가,풍남문4길,100.0,202005.0,7.0,2000.0,25.0,1992.0,전북 전주시 중앙동4가 풍남문4길,127.14500651200001,35.814061524,1,1,1,1,1
월세,중인동,중인2길,105.79,202004.0,21.0,4000.0,50.0,,전북 전주시 중인동 중인2길,127.0922514,35.765711722,1,1,1,1,1
월세,중화산동1가,강당2길,39.395,202005.0,9.0,2750.0,25.0,2016.0,전북 전주시 중화산동1가 강당2길,127.133743486,35.811408763,2,2,2,2,2
월세,중화산동1가,강당4길,23.39,202103.0,11.0,300.0,30.0,2019.0,전북 전주시 중화산동1가 강당4길,127.13385206299999,35.813747127,1,1,1,1,1
