건물명(상호명),건물위치,주택유형구분,세대수(객실수),건축연도
,전라북도 전주시 덕진구 금암동 1596-33,"제2종근린생활시설, 단독주택",9,19940516
,전라북도 전주시 덕진구 금암동 1596-4,다가구주택,12,19941207
,전라북도 전주시 덕진구 금암동 1596-8,단독주택,2,19800229
,전라북도 전주시 덕진구 금암동 1596-9,단독주택,18,20050201
,전라북도 전주시 덕진구 금암동 1598-1,"근린생활시설, 주택(19가구)",19,20000822
,전라북도 전주시 덕진구 금암동 1598-19,"다세대주택, 변소, 창고",1,19880625
,전라북도 전주시 덕진구 금암동 1598-20,"다세대주택, 변소",2,19900515
,전라북도 전주시 덕진구 금암동 1598-21,다세대주택,2,19900515
,전라북도 전주시 덕진구 금암동 1598-31,단독주택(다가구주택),15,20140826
,전라북도 전주시 덕진구 금암동 1598-4,단독주택,18,20070129
,전라북도 전주시 덕진구 금암동 1599-10,"다세대주택, 창고, 화장실",4,19860822
,전라북도 전주시 덕진구 금암동 1599-16,단독주택,7,20120808
,전라북도 전주시 덕진구 금암동 1599-2,단독주택,5,20120627
,전라북도 전주시 덕진구 금암동 1599-8,"다세대주택, 화장실",3,19871228
,전라북도 전주시 덕진구 금암동 1600-2,단독주택(다가구주택),19,20020518
,전라북도 전주시 덕진구 금암동 1600-20,단독주택,13,20180108
,전라북도 전주시 덕진구 금암동 1600-27,단독주택(다가구주택),19,20020527
,전라북도 전주시 덕진구 금암동 1600-29,단독주택(다가구주택),19,20020527
,전라북도 전주시 덕진구 금암동 1600-30,단독주택(다가구주택),19,20020527
,전라북도 전주시 덕진구 금암동 1601-2,단독주택,5,19870716
,전라북도 전주시 덕진구 금암동 1601-24,단독주택,6,20070607
,전라북도 전주시 덕진구 금암동 1601-5,단독주택,18,20070710
,전라북도 전주시 덕진구 금암동 1602-5,단독(다가구)주택,2,19950629
,전라북도 전주시 덕진구 금암동 1603-23,"다세대주택, 창고, 화장실",1,19860814
,전라북도 전주시 덕진구 금암동 1603-37,"주택, 창고",0,19870610
,전라북도 전주시 덕진구 금암동 1603-6,단독주택,16,20170925
,전라북도 전주시 덕진구 금암동 1604-17,단독주택,12,20110215
,전라북도 전주시 덕진구 금암동 1604-3,다세대주택(3세대),4,19890919
,전라북도 전주시 덕진구 금암동 1604-31,"다세대주택, 변소, 창고",4,19861024
,전라북도 전주시 덕진구 금암동 1605-16,단독주택,3,19940111
,전라북도 전주시 덕진구 금암동 1605-19,"다세대주택, 창고, 화장실",6,19840803
,전라북도 전주시 덕진구 금암동 1605-25,단독주택(다가구주택),7,20160908
,전라북도 전주시 덕진구 금암동 1605-28,"다세대주택, 창고, 화장실",4,19851211
,전라북도 전주시 덕진구 금암동 1605-7,"다세대주택, 변소",4,19871222
,전라북도 전주시 덕진구 금암동 161,단독주택(다가구주택),15,20020822
